fpr,tpr
0.0,0.0
0.0,0.15789473684210525
0.017964071856287425,0.15789473684210525
0.017964071856287425,0.21052631578947367
0.041916167664670656,0.21052631578947367
0.041916167664670656,0.2631578947368421
0.04790419161676647,0.2631578947368421
0.04790419161676647,0.3684210526315789
0.059880239520958084,0.3684210526315789
0.059880239520958084,0.42105263157894735
0.0658682634730539,0.42105263157894735
0.0658682634730539,0.47368421052631576
0.09580838323353294,0.47368421052631576
0.09580838323353294,0.5263157894736842
0.2215568862275449,0.5263157894736842
0.2215568862275449,0.5789473684210527
0.281437125748503,0.5789473684210527
0.281437125748503,0.631578947368421
0.3652694610778443,0.631578947368421
0.3652694610778443,0.6842105263157895
0.40119760479041916,0.6842105263157895
0.40119760479041916,0.7894736842105263
0.41916167664670656,0.7894736842105263
0.41916167664670656,0.8421052631578947
0.5748502994011976,0.8421052631578947
0.5748502994011976,0.8947368421052632
0.6287425149700598,0.8947368421052632
0.6287425149700598,0.9473684210526315
0.7125748502994012,0.9473684210526315
0.7125748502994012,1.0
1.0,1.0
